url,genre,domain,ads,imgratio,inlinks,wot,pageloadtime,misspelled,hyperlinks,cookie,brokenlinks,responsive,lastmod,langcount,outlinks,redirected
https://noscript.net/changelog,Portrayl-org,net,11,0.9948035182,256000,"[94, 63]",26,41,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 0}",No,14,FALSE,10/09/2017 10:39:31,1,10,Field NA
http://www.milincorporated.com/,shop,com,5,0.2061794842,0,"[69, 7]",251,+++,+++,No,0,FALSE,01/01/2016 14:42:54,1,3,Field NA
http://www.defcon-5.com/,shop,com,0,0.0855627278,335000,"[81, 10]",255,0,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 0}",No,1,FALSE,17/08/2017 08:01:40,1,0,Field NA
https://twitter.com/CTIN_Global/status/790670640642654208/photo/1,other,com,14,0.7668132394,0,NA,53,162,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}",Yes,24,FALSE,21/08/2017 10:41:13,44,10,Field NA
http://www.ncbi.nlm.nih.gov/pubmed/25204641,articles,gov,37,0.2498734533,0,"[94, 69]",53,2,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 1}",Yes,7,TRUE,03/09/2017 17:17:56,1,32,https://www.ncbi.nlm.nih.gov/pubmed/25204641
http://www.cpatrol.com/,shop,com,3,0.3153997514,546000000,NA,301,0,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 0}",Yes,1,FALSE,12/08/2017 09:27:26,1,3,http://www.cpatrol.com/index.portal
http://www.cioforum.com/,Portrayl-org,com,16,0.079875549,0,"[59, 3]",171,0,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 0}",Yes,0,FALSE,10/08/2017 15:44:44,1,16,Field NA
http://www.youtube.com/watch?v=lqB-0sI8e-4,other,com,7,0.0434336342,0,Error in binding req to urllib2,25,0,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 1}",Yes,0,TRUE,06/09/2017 21:56:39,1,7,https://www.youtube.com/watch?v=lqB-0sI8e-4
http://www.cc.gatech.edu/~wenke/project/id.html,Portrayl-org,edu,0,1,0,"[63, 4]",248,0,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}",No,0,FALSE,22/08/2011 19:12:58,1,0,http://wenke.gtisc.gatech.edu/project/id.html
http://news.softpedia.com/news/Hackers-Trick-Facebook-Users-Into-Self-Cross-Site-Scripting-XSS-Scam-452364.shtml,articles,com,48,0.4578247988,0,NA,130,40,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 1}",Yes,0,TRUE,09/09/2017 13:15:22,1,19,Field NA
https://web.archive.org/web/20090207005135/http://www.nsa.gov/ia/programs/suiteb_cryptography/index.shtml,Portrayl-org,org,13,1,0,"[83, 40]",47,0,"{""contact"": 1, ""email"": 0, ""sitemap"": 1, ""help"": 1}",No,118,FALSE,01/09/2017 13:35:03,1,4,Field NA
http://safecurves.cr.yp.to/,articles,to,4,1,0,"[94, 21]",373,0,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}",No,0,FALSE,22/01/2017 18:14:03,1,4,Field NA
