Genre,,All features,inlinks,Links,Content,Presence,Others
,,,,,,,
"{Articles, Help,
Shop, Portrayal
-Org}
",,"-1.2%, 15%","-10.6%, 9.1%","25.41%, -0.91","13.5%, 7.9%","-38.3%, 15.6%","0.27%, 6.21%"
Articles,,"-24%, 17.2%","-4.2%, 26.55%","30.3%, 3.03%","-0.6%, 4.02%","-42.7%, 11.6%","-1.5%, 2.2%"
Help,,"-24.9%, 17.2%","-10.26%, 14.86%","9.84%, 18.5%","-0.7%, 3.5%","-41.1%, 19.25%","-0.23%, 2.3%"
Shop,,"11.8%, 15.7%","-7.03%, 1.2%","16.9%, 8.3%","15.1%, 6.25%","-43.8%, 19.5%","-1.1%, 3.3%"
Portrayl-Org,,"-12%, 18.63%","-10.6%, 9.3%","9.96%, 4.88%","13.5%, 7.9%","-38.3%, 15.6%","-0.2%, 6.2%"
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,alexaSimilarity,wotSimilarity,,,,
