Table 1
               ,    alexa ,      ads , imgratio ,  inlinks  ,misspelled ,      wot  ,pageloadtime  ,brokenlinks  ,wot_confidence  ,  lastmod  ,wot_reputation , outlinks
alexa          ,1,0.670478,0.233382,0.216978,0.142758,0.295773,-0.063211,0.383081,0.291606,-0.053976,0.160637,0.109711
ads            ,0.670478,1,0.225047,-0.026058,0.426737,0.229454,0.027017,0.615194,0.226117,0.063520,0.126757,0.427662
imgratio       ,0.233382,0.225047,1,-0.136539,-0.103409,0.049428,-0.147209,0.245865,0.043187,0.018478,0.018911,0.066879
inlinks        ,0.216978,-0.026058,-0.136539,1,0.213327,0.123932,-0.014394,-0.074079,0.124097,-0.148757,0.09786,-0.07036
misspelled     ,0.142758,0.426737,-0.103409,0.213327,1,0.038624,0.087221,0.449284,0.044834,0.061611,-0.012035,0.483667
wot            ,0.295773,0.229454,0.049428,0.123932,0.038624,1,-0.148064,0.185958,0.999073,0.191754,0.778199,0.004077
pageloadtime   ,-0.063211,0.027017,-0.147209,-0.014394,0.087221,-0.148064,1,0.001859,-0.142978,-0.015723,-0.134971,0.154503
brokenlinks    ,0.383081,0.615194,0.245865,-0.074079,0.449284,0.185958,0.001859,1,0.189236,0.075952,0.066907,0.530132
wot_confidence ,0.291606,0.226117,0.043187,0.124097,0.044834,0.999073,-0.142978,0.189236,1,0.190336,0.764903,0.009627
lastmod        ,-0.053976,0.063520,0.018478,-0.148757,0.061611,0.191754,-0.015723,0.075952,0.190336,1,0.248446,0.045359
wot_reputation ,0.160637,0.126757,0.018911,0.09786,-0.012035,0.778199,-0.134971,0.066907,0.764903,0.248446,1,-0.040139
outlinks       ,0.109711,0.427662,0.066879,-0.07036,0.483667,0.004077,0.154503,0.530132,0.009627,0.045359,-0.040139,1
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
