,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Url,Genre,Misspell,Ads,"Text to 
Image ratio","Last Modified 
DateTime","Real World 
Presence",Domain,,,"Broken
Links","Responsive
Design",Lastmod,"Language
count",Outlinks,"Redirected
 Url"
https://noscript.net/changelog,"Portrayl-
Organization",41,11,0.9948,"10/09/2017 
10:39:31","{""contact"": 1, ""email"": 0,
 ""sitemap"": 0, ""Help"": 0}",net,,,14,FALSE,"10/09/2017 
10:39:31",1,10,Field NA
http://www.milincorporated.com/,Shop,5,5,0.20617,"01/01/2016 
14:42:54","{""contact"": 1, ""email"": 0,
 ""sitemap"": 0, ""Help"": 0}",com,,,0,FALSE,"01/01/2016 
14:42:54",1,3,Field NA
http://www.cpatrol.com/,Shop,0,3,0.31539,"12/08/2017 
09:27:26","{""contact"": 1, ""email"": 0,
 ""sitemap"": 0, ""Help"": 0}",com,,,1,FALSE,"12/08/2017 
09:27:26",1,3,http://www.cpatrol.com/index.portal
https://twitter.com/CTIN_Global/status/790670640642654208/photo/1,Others,162,14,0.76681,"21/08/2017 
10:41:13","{""contact"": 0, ""email"": 0, 
""sitemap"": 0, ""Help"": 0}",com,,,24,FALSE,"21/08/2017 
10:41:13",44,10,Field NA
http://www.ncbi.nlm.nih.gov/pubmed/25204641,Articles,2,37,0.24987,"03/09/2017 
17:17:56","{""contact"": 1, ""email"": 0,
 ""sitemap"": 0, ""Help"": 1}",gov,,,7,TRUE,"03/09/2017 
17:17:56",1,32,https://www.ncbi.nlm.nih.gov/pubmed/25204641
http://howtodoinjava.com/spring/spring-aop/spring-aop-aspectj-example-tutorial-using-annotation-config/,Help,7,64,0.68717,"31/08/2017 
18:31:25","{""contact"": 0, ""email"": 0,
 ""sitemap"": 0, ""Help"": 0}",com,,,1,TRUE,"31/08/2017 
18:31:25",1,17,Field NA
http://www.cpatrol.com/,Shop,0,3,0.31539,"12/08/2017
 09:27:26","{""contact"": 1, ""email"": 0,
 ""sitemap"": 0, ""Help"": 0}",com,,,1,FALSE,12/08/2017 09:27:26,1,3,http://www.cpatrol.com/index.portal
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Url,Genre,"Page
Loadtime","Language
count","Responsive
Design",Broken Links,Inlinks,Outlinks,,"Broken
Links",Inlinks,,Lastmod,,,"Redirected
 Url"
https://noscript.net/changelog,"Portrayl-
Organization",26,1,FALSE,14,256000,10,,14,256000,,"10/09/2017 
10:39:31",,,Field NA
http://www.milincorporated.com/,Shop,251,1,FALSE,0,102,3,,0,102,,"01/01/2016 
14:42:54",,,Field NA
http://www.cpatrol.com/,Shop,301,1,FALSE,1,5460000,3,,1,5460000,,"12/08/2017 
09:27:26",,,http://www.cpatrol.com/index.portal
https://twitter.com/CTIN_Global/status/790670640642654208/photo/1,Others,53,44,FALSE,24,2,10,,24,2,,"21/08/2017 
10:41:13",,,Field NA
http://www.ncbi.nlm.nih.gov/pubmed/25204641,Articles,53,1,TRUE,7,0,32,,7,0,,"03/09/2017 
17:17:56",,,https://www.ncbi.nlm.nih.gov/pubmed/25204641
http://howtodoinjava.com/spring/spring-aop/spring-aop-aspectj-example-tutorial-using-annotation-config/,Help,103,1,TRUE,1,0,17,,1,0,,"31/08/2017 
18:31:25",,,Field NA
http://www.cpatrol.com/,Shop,301,1,FALSE,1,546000000,3,,1,546000000,,12/08/2017 09:27:26,,,http://www.cpatrol.com/index.portal
