url,Error,domain,ads,imgratio,inlinks,wot,pageloadtime,misspelled,hyperlinks,cookie,brokenlinks,responsive,lastmod,langcount,outlinks,redirected
"""http://www.cybersecurity.alabama.gov/""",Field NA,"""gov""",9,"""TimeOut Error, Max 500 sec""",73400,"[92, 26]",114,4,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}","""No""",2,"""false""","""2017-08-08T13:58:46""",1,7,Field NA
"""http://www.symantec.com/connect/blogs/discover?community-id=691""",Field NA,"""com""",0,1.0,0,"""Error in binding req to urllib2""",119,1,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}","""Yes""",0,"""false""","""2017-08-08T13:27:36""",1,0,"""https://www.symantec.com/connect/blogs?community-id=691"""
"""http://www.digitalthreat.net/2010/05/information-security-models-for-confidentiality-and-integrity/""","""Error in binding req to urllib2""",Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA
"""http://www.itsecurity.com/dictionary/all/""",Field NA,"""com""",185,0.6366079014011796,9,"[54, 10]",48,3,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 1}","""Yes""",3,"""true""","""2017-08-08T14:07:41""",1,160,"""http://security.ittoolbox.com/"""
"""https://www.schneier.com/cryptography.html""",Field NA,"""com""",162,0.36521239111285114,81200,"[93, 53]",271,3,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}","""No""",155,"""true""","""2017-03-22T00:06:28""",1,11,"""https://www.schneier.com/academic/"""
"""http://www.iplocation.net/""",Field NA,"""net""",12,0.22145040999859283,8,"[92, 50]",95,0,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 1}","""Yes""",2,"""false""","""2017-08-08T14:22:00""",1,12,"""https://www.iplocation.net/"""
"""http://www.iso.org/iso/home/standards/management-standards/iso27001.htm""",Field NA,"""org""",7,0.8871895495108053,1,"""NA""",211,13,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 0}","""Yes""",45,"""true""","""2017-08-08T14:22:31""",1,5,"""https://www.iso.org/isoiec-27001-information-security.html"""
"""https://www.kuppingercole.com/blog/kuppinger/information-rights-management-microsoft-gives-it-a-new-push-just-in-time-to-succeed""",Field NA,"""com""",31,0.23134533239666352,0,"""NA""",134,24,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 0}","""Yes""",4,"""false""","""2017-08-08T14:23:09""",1,27,Field NA
"""http://www.cisco.com/c/en/us/td/docs/ios/sec_data_plane/configuration/guide/12_4/sec_data_plane_12_4_book.html""",Field NA,"""com""",27,0.16666666666666666,0,"[93, 61]",61,0,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 1}","""Yes""",0,"""false""","""2017-08-08T14:27:43""",1,26,"""https://www.cisco.com/c/en/us/td/docs/ios/sec_data_plane/configuration/guide/12_4/sec_data_plane_12_4_book.html"""
"""https://www.freebsd.org/doc/handbook/index.html""",Field NA,"""org""",7,1.0,23600,"[95, 56]",582,"""+++""","{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 1}","""No""",430,"""false""","""2017-08-08T14:24:35""",1,6,Field NA
"""http://www.cgisecurity.com/owasp/html/index.html""",Field NA,"""com""",0,1.0,1,"""NA""",265,"""+++""","{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}","""Yes""",131,"""false""","""2008-10-22T05:08:49""",1,0,Field NA
"""http://csrc.nist.gov/""",Field NA,"""gov""",17,0.5760263808738665,34900,"[93, 55]",294,2,"{""contact"": 1, ""email"": 0, ""sitemap"": 1, ""help"": 0}","""No""","""TimeOut Error, Max 500 sec""","""false""","""2017-08-08T14:29:48""",1,11,Field NA
"""http://disa.mil/Network-Services/Data""",Field NA,"""mil""",5,0.2502992331055133,3,"[93, 48]",483,24,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}","""No""","""TimeOut Error, Max 500 sec""","""false""","""2017-08-08T14:46:38""",1,5,Field NA
"""http://wiki.openssl.org/""",Field NA,"""org""",14,0.5,3,"[93, 22]",1408,1,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}","""No""",114,"""false""","""2017-05-23T14:59:09""",1,11,"""https://wiki.openssl.org/index.php/Main_Page"""
"""http://www.isg.rhul.ac.uk/tls/""",Field NA,"""uk""",43,0.08161948741818657,1,"[81, 11]",230,0,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}","""No""","""TimeOut Error, Max 500 sec""","""false""","""2013-08-28T16:29:05""",1,"""TimeOut Error, Max 500 sec""",Field NA
"""http://www.cryptographyworld.com/""",Field NA,"""com""",1,1.0,1,"[90, 11]",1358,0,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}","""No""",0,"""false""","""2017-08-08T15:14:37""",1,0,Field NA
"""http://www.w3.org/TR/xmlsec-algorithms/""",Field NA,"""org""",127,0.978472384383583,1,"[95, 65]",236,3,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}","""No""",2,"""false""","""2013-04-23T19:48:49""",1,9,Field NA
"""http://niccs.us-cert.gov/glossary""",Field NA,"""gov""",1,0.9059969988833054,3,"[91, 20]",40,14,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 1}","""No""",34,"""Info not NA""","""2017-08-08T15:20:51""",1,1,"""https://niccs.us-cert.gov/glossary"""
"""https://www.schneier.com/essays/""",Field NA,"""com""",114,0.3484616804197095,12800,"[93, 53]",306,7,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}","""No""",86,"""true""","""2017-07-11T22:03:17""",1,11,Field NA
"""http://securitywatch.pcmag.com/""",Field NA,"""com""",93,0.2020337240917308,1,"[91, 59]","""+++""",1,"{""contact"": 0, ""email"": 1, ""sitemap"": 0, ""help"": 1}","""No""",3,"""true""","""2017-08-08T15:25:06""",1,93,Field NA
"""https://www.torproject.org/""",Field NA,"""org""",21,0.21097163081347123,105000,"[94, 64]",2229,0,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 0}","""No""",0,"""false""","""2017-08-08T14:12:29""",1,21,Field NA
"""http://resources.infosecinstitute.com""",Field NA,"""com""",354,0.8909744467899795,2,"[90, 32]",123,0,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}","""Yes""",240,"""true""","""2017-08-08T15:33:55""",1,"""TimeOut Error, Max 500 sec""",Field NA
"""http://www.esslsecurity.com/""",Field NA,"""com""",12,0.23733354934790601,0,"""NA""",562,4,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}","""No""",7,"""Error in binding req to urllib2""","""2017-08-08T15:42:38""",1,11,Field NA
"""http://stackoverflow.com/questions/tagged/security""",Field NA,"""com""",69,0.7116748738607045,3,"[94, 64]",103,17,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 1}","""Yes""",523,"""true""","""2017-08-08T15:31:40""",1,25,"""https://stackoverflow.com/questions/tagged/security"""
"""http://docs.saltstack.com/en/latest/""",Field NA,"""com""",29,0.01116376760444423,0,"[63, 4]",194,3,"{""contact"": 0, ""email"": 1, ""sitemap"": 0, ""help"": 0}","""No""",59,"""false""","""2017-07-18T21:29:17""",1,25,"""https://docs.saltstack.com/en/latest/"""
"""https://saltthepass.com/#help-about""",Field NA,"""com""",36,0.5,0,"""Error in binding req to urllib2""",133,0,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 1}","""No""",104,"""true""","""2017-08-08T15:53:20""",1,34,Field NA
"""http://crypto.stackexchange.com/""",Field NA,"""com""",69,0.601494339720118,9400000,"[96, 23]",206,2,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 1}","""Yes""",83,"""true""","""2017-08-08T15:54:40""",1,61,"""https://crypto.stackexchange.com/"""
"""http://www.biometrics.gov/""",Field NA,"""gov""",6,0.6752396694214876,227000,"[94, 59]",52,2,"{""contact"": 1, ""email"": 1, ""sitemap"": 0, ""help"": 0}","""No""",48,"""Info not NA""","""2017-08-08T15:51:06""",1,6,"""https://www.dhs.gov/biometrics"""
"""http://www.biometricsinstitute.org/pages/types-of-biometrics.html""",Field NA,"""org""",2,1.0,0,"[75, 11]",159,0,"{""contact"": 1, ""email"": 0, ""sitemap"": 1, ""help"": 0}","""Yes""",33,"""false""","""2017-08-08T16:02:44""",1,2,Field NA
"""http://support.microsoft.com/en-us/kb/246071""",Field NA,"""com""",75,0.8610224287734896,0,"""NA""",158,4,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 1}","""Yes""",0,"""true""","""2017-08-08T16:02:55""",1,72,"""https://support.microsoft.com/en-us/help/246071/description-of-symmetric-and-asymmetric-encryption"""
"""http://www.garykessler.net/library/fsc_stego.html""",Field NA,"""net""",61,1.0,0,"""NA""",139,0,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}","""No""",27,"""false""","""2017-05-17T13:35:44""",1,29,Field NA
"""https://technet.microsoft.com/en-us/library/cc179103.aspx""",Field NA,"""com""",122,0.5711573853618358,0,"[95, 80]",315,12,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 1}","""Yes""",14,"""true""","""2017-08-08T16:17:10""",1,60,Field NA
"""http://cs.stanford.edu/people/eroberts/courses/soco/projects/2000-01/risc/whatis/""",Field NA,"""edu""",0,0.17895849854612741,0,"[93, 35]",211,0,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}","""No""",0,"""false""","""2006-12-16T00:50:03""",1,0,Field NA
"""http://www.gammassl.co.uk/research/chinesewall.php""",Field NA,"""uk""",0,1.0,0,"""NA""",110,0,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}","""Yes""",2,"""false""","""2017-08-08T16:26:25""",1,0,Field NA
"""http://www.softpanorama.org/Access_control/Security_models/""",Field NA,"""org""",7,0.972074391988555,0,"[86, 28]",519,0,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}","""No""",6,"""false""","""2017-08-08T16:26:28""",1,4,Field NA
"""http://www.openpgp.org/""",Field NA,"""org""",14,0.0397854736910952,9,"[94, 15]",243,2,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}","""No""",0,"""false""","""2017-03-21T01:55:54""",1,5,"""http://openpgp.org/"""
"""http://www.quadibloc.com/crypto/jscrypt.htm""",Field NA,"""com""",0,1.0,0,"[73, 11]",456,0,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}","""No""",229,"""false""","""2017-03-13T14:23:52""",1,0,Field NA
"""http://search.cpan.org/dist/Crypt-Loki97/Loki97.pm""",Field NA,"""org""",8,0.5236065467087495,0,"""NA""",85,0,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}","""No""",22,"""false""","""2017-08-08T16:28:30""",1,7,Field NA
"""https://www.fastmail.com/help/technical/ssltlsstarttls.html""",Field NA,"""com""",19,1.0,0,"""NA""",648,8,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 1}","""No""",24,"""false""","""2017-08-08T16:30:36""",1,17,Field NA
"""http://www.ietf.org/rfc/rfc4880.txt""",Field NA,"""org""",0,1.0,0,"[95, 53]",78,0,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}","""Yes""",0,"""false""","""2007-11-01T00:36:20""",1,0,Field NA
"""https://tools.ietf.org/html/rfc2595""",Field NA,"""org""",2,1.0,0,"[94, 52]",2277,0,"{""contact"": 0, ""email"": 0, ""sitemap"": 0, ""help"": 0}","""No""",0,"""Info not NA""","""2017-08-06T10:18:49""",1,1,Field NA
"""http://www.pcmag.com/article2/0,2817,2407168,00.asp""",Field NA,"""com""",136,0.01806191114208387,0,"[93, 65]","""+++""",1,"{""contact"": 0, ""email"": 1, ""sitemap"": 0, ""help"": 1}","""No""",0,"""true""","""2017-08-08T16:31:55""",1,24,"""https://www.pcmag.com/article2/0,2817,2407168,00.asp"""
"""http://www.pcmag.com/article2/0,2817,2372364,00.asp""",Field NA,"""com""",132,0.01949877002805205,0,"[93, 65]","""+++""",1,"{""contact"": 0, ""email"": 1, ""sitemap"": 0, ""help"": 1}","""No""",0,"""true""","""2017-08-08T16:37:00""",1,29,"""https://www.pcmag.com/article2/0,2817,2372364,00.asp"""
"""https://technet.microsoft.com/en-us/library/hh994558%28v=ws.10%29.aspx""",Field NA,"""com""",106,0.6482776054681043,0,"""Error in binding req to urllib2""",401,12,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 1}","""Yes""",12,"""true""","""2017-08-08T16:42:38""",1,57,Field NA
"""https://technet.microsoft.com/en-us/library/hh994561(v=ws.10).aspx""",Field NA,"""com""",125,0.6004484255403749,0,"""Error in binding req to urllib2""","""+++""",7,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 1}","""Yes""",9,"""true""","""2017-08-08T16:51:36""",1,58,Field NA
"""https://technet.microsoft.com/en-us/library/dd883248(v=ws.10).aspx""",Field NA,"""com""",115,0.7167777794885217,0,"""Error in binding req to urllib2""","""+++""",7,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 1}","""Yes""",20,"""true""","""2017-08-08T17:01:39""",1,61,Field NA
"""https://technet.microsoft.com/en-us/library/cc755284(v=ws.10).aspx""",Field NA,"""com""",130,0.6530009304467104,0,"""Error in binding req to urllib2""","""+++""",11,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 1}","""Yes""",10,"""true""","""2017-08-08T17:11:31""",1,"""TimeOut Error, Max 500 sec""",Field NA
"""https://technet.microsoft.com/en-us/library/cc731416(v=ws.10).aspx""",Field NA,"""com""",132,0.6201868688984791,0,"""Error in binding req to urllib2""","""+++""",7,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 1}","""Yes""",7,"""true""","""2017-08-08T17:22:11""",1,"""TimeOut Error, Max 500 sec""",Field NA
"""https://technet.microsoft.com/en-us/library/ee706526(v=ws.10).aspx""",Field NA,"""com""",119,0.6036702273349768,0,"""Error in binding req to urllib2""","""+++""",8,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 1}","""Yes""",11,"""true""","""2017-08-08T17:33:43""",1,59,Field NA
"""https://technet.microsoft.com/en-us/library/cc731004(v=ws.10).aspx""",Field NA,"""com""",123,0.6085592165773954,0,"""Error in binding req to urllib2""","""+++""",7,"{""contact"": 1, ""email"": 0, ""sitemap"": 0, ""help"": 1}","""Yes""",9,"""true""","""2017-08-08T17:44:35""",1,59,Field NA
