url,Error,domain,ads,imgratio,inlinks,wot,pageloadtime,outlinks,misspelled,contact,cookie,brokenlinks,responsive,lastmod,langcount,email,sitemap,help,redirected
"""http://www.cybersecurity.alabama.gov/""",Field NA,"""gov""",0,1,0,"[92, 26]",0,0,0,0,1,0,0,"""2017-08-08T13:58:46""",1,0,0,0,Field NA
"""http://www.symantec.com/connect/blogs/discover?community-id=691""",Field NA,"""com""",0,1,0,"""Error in binding req to urllib2""",0,0,0,0,0,0,0,"""2017-08-08T13:27:36""",1,0,0,0,"""https://www.symantec.com/connect/blogs?community-id=691"""
"""http://www.digitalthreat.net/2010/05/information-security-models-for-confidentiality-and-integrity/""","""Error in binding req to urllib2""",Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA,Field NA
"""http://www.itsecurity.com/dictionary/all/""",Field NA,"""com""",-1,0,0,"[54, 10]",0,-1,0,0,0,0,1,"""2017-08-08T14:07:41""",1,0,0,1,"""http://security.ittoolbox.com/"""
"""https://www.schneier.com/cryptography.html""",Field NA,"""com""",-1,0,0,"[93, 53]",0,0,0,0,1,-1,1,"""2017-03-22T00:06:28""",1,0,0,0,"""https://www.schneier.com/academic/"""
"""http://www.iplocation.net/""",Field NA,"""net""",0,0,0,"[92, 50]",0,0,0,1,0,0,0,"""2017-08-08T14:22:00""",1,0,0,1,"""https://www.iplocation.net/"""
"""http://www.iso.org/iso/home/standards/management-standards/iso27001.htm""",Field NA,"""org""",0,1,0,"""NA""",0,0,0,1,0,0,1,"""2017-08-08T14:22:31""",1,0,0,0,"""https://www.iso.org/isoiec-27001-information-security.html"""
"""https://www.kuppingercole.com/blog/kuppinger/information-rights-management-microsoft-gives-it-a-new-push-just-in-time-to-succeed""",Field NA,"""com""",0,0,0,"""NA""",0,0,0,1,0,0,0,"""2017-08-08T14:23:09""",1,0,0,0,Field NA
"""http://www.cisco.com/c/en/us/td/docs/ios/sec_data_plane/configuration/guide/12_4/sec_data_plane_12_4_book.html""",Field NA,"""com""",0,0,0,"[93, 61]",0,0,0,1,0,0,0,"""2017-08-08T14:27:43""",1,0,0,1,"""https://www.cisco.com/c/en/us/td/docs/ios/sec_data_plane/configuration/guide/12_4/sec_data_plane_12_4_book.html"""
"""https://www.freebsd.org/doc/handbook/index.html""",Field NA,"""org""",0,1,0,"[95, 56]",0,0,0,0,1,-1,0,"""2017-08-08T14:24:35""",1,0,0,1,Field NA
"""http://www.cgisecurity.com/owasp/html/index.html""",Field NA,"""com""",0,1,0,"""NA""",0,0,0,0,0,-1,0,"""2008-10-22T05:08:49""",1,0,0,0,Field NA
"""http://csrc.nist.gov/""",Field NA,"""gov""",0,0,0,"[93, 55]",0,0,0,1,1,-1,0,"""2017-08-08T14:29:48""",1,0,1,0,Field NA
"""http://disa.mil/Network-Services/Data""",Field NA,"""mil""",0,0,0,"[93, 48]",0,0,0,0,1,-1,0,"""2017-08-08T14:46:38""",1,0,0,0,Field NA
